InvoiceNo,StockCode,Qty,InvoiceDate,CustomerID,Country
537626,22725,830,12/7/2010 14:57,12347,Iceland
537626,22729,948,12/7/2010 14:57,12347,Iceland
537626,22195,695,12/7/2010 14:57,12347,Iceland
542237,22725,636,1/26/2011 14:30,12347,Iceland
542237,22729,536,1/26/2011 14:30,12347,Iceland
542237,47559,919,1/26/2011 14:30,12347,Iceland
542237,21154,803,1/26/2011 14:30,12347,Iceland
542237,21035,532,1/26/2011 14:30,12347,Iceland
549222,23076,383,4/7/2011 10:43,12347,Iceland
549222,21791,389,4/7/2011 10:43,12347,Iceland
549222,22550,500,4/7/2011 10:43,12347,Iceland
549222,22432,875,4/7/2011 10:43,12347,Iceland
549222,22195,434,4/7/2011 10:43,12347,Iceland
549222,21975,735,4/7/2011 10:43,12347,Iceland
556201,23171,135,6/9/2011 13:01,12347,Iceland
556201,23172,974,6/9/2011 13:01,12347,Iceland
556201,23175,82,6/9/2011 13:01,12347,Iceland
556201,51014,234,6/9/2011 13:01,12347,Iceland
556201,22725,512,6/9/2011 13:01,12347,Iceland
562032,23308,490,8/2/2011 8:48,12347,Iceland
562032,23297,822,8/2/2011 8:48,12347,Iceland
562032,21578,487,8/2/2011 8:48,12347,Iceland
562032,47559,599,8/2/2011 8:48,12347,Iceland
562032,21975,675,8/2/2011 8:48,12347,Iceland
562032,23175,254,8/2/2011 8:48,12347,Iceland
562032,22992,217,8/2/2011 8:48,12347,Iceland
562032,21791,280,8/2/2011 8:48,12347,Iceland
573511,47559,922,10/31/2011 12:25,12347,Iceland
573511,21791,296,10/31/2011 12:25,12347,Iceland
573511,22992,412,10/31/2011 12:25,12347,Iceland
573511,22561,715,10/31/2011 12:25,12347,Iceland
573511,22621,566,10/31/2011 12:25,12347,Iceland
573511,22725,850,10/31/2011 12:25,12347,Iceland
573511,23308,492,10/31/2011 12:25,12347,Iceland
573511,22195,377,10/31/2011 12:25,12347,Iceland
539318,21981,957,12/16/2010 19:09,12348,Finland
539318,84988,802,12/16/2010 19:09,12348,Finland
539318,22952,732,12/16/2010 19:09,12348,Finland
539318,22952,112,12/16/2010 19:09,12348,Finland
541998,21980,737,1/25/2011 10:42,12348,Finland
548955,23077,779,4/5/2011 10:47,12348,Finland
548955,23076,922,4/5/2011 10:47,12348,Finland
548955,22437,513,4/5/2011 10:47,12348,Finland
568172,23077,359,9/25/2011 13:13,12348,Finland
577609,22195,72,11/21/2011 9:51,12349,Italy
577609,84978,937,11/21/2011 9:51,12349,Italy
577609,22692,202,11/21/2011 9:51,12349,Italy
577609,22567,444,11/21/2011 9:51,12349,Italy
577609,21535,707,11/21/2011 9:51,12349,Italy
577609,21531,790,11/21/2011 9:51,12349,Italy
577609,21533,697,11/21/2011 9:51,12349,Italy
577609,23296,753,11/21/2011 9:51,12349,Italy
577609,23294,713,11/21/2011 9:51,12349,Italy
577609,23493,167,11/21/2011 9:51,12349,Italy
577609,22704,939,11/21/2011 9:51,12349,Italy
577609,85053,836,11/21/2011 9:51,12349,Italy
577609,48184,629,11/21/2011 9:51,12349,Italy
543037,79191,841,2/2/2011 16:01,12350,Norway
543037,22348,140,2/2/2011 16:01,12350,Norway
544156,22646,971,2/16/2011 12:33,12352,Norway
544156,21700,787,2/16/2011 12:33,12352,Norway
546869,22413,721,3/17/2011 16:00,12352,Norway
547390,22413,832,3/22/2011 16:08,12352,Norway
567505,22980,121,9/20/2011 14:34,12352,Norway
567505,22692,841,9/20/2011 14:34,12352,Norway
567505,22979,269,9/20/2011 14:34,12352,Norway
567505,37495,212,9/20/2011 14:34,12352,Norway
568699,21770,468,9/28/2011 14:58,12352,Norway
568699,22635,289,9/28/2011 14:58,12352,Norway
568699,22634,801,9/28/2011 14:58,12352,Norway
568699,22550,940,9/28/2011 14:58,12352,Norway
574275,22978,610,11/3/2011 14:37,12352,Norway
574275,22668,966,11/3/2011 14:37,12352,Norway
574275,22178,568,11/3/2011 14:37,12352,Norway
574275,21669,949,11/3/2011 14:37,12352,Norway
574275,22635,884,11/3/2011 14:37,12352,Norway
550911,23201,211,4/21/2011 13:11,12354,Spain
550911,23205,840,4/21/2011 13:11,12354,Spain
550911,21240,555,4/21/2011 13:11,12354,Spain
550911,22899,722,4/21/2011 13:11,12354,Spain
550911,22628,434,4/21/2011 13:11,12354,Spain
550911,22635,776,4/21/2011 13:11,12354,Spain
550911,22848,721,4/21/2011 13:11,12354,Spain
550911,21217,836,4/21/2011 13:11,12354,Spain
550911,22668,603,4/21/2011 13:11,12354,Spain
550911,23052,500,4/21/2011 13:11,12354,Spain
550911,84988,971,4/21/2011 13:11,12354,Spain
550911,21239,416,4/21/2011 13:11,12354,Spain
550911,21244,274,4/21/2011 13:11,12354,Spain
550911,21243,287,4/21/2011 13:11,12354,Spain
550911,20675,435,4/21/2011 13:11,12354,Spain
550911,20677,153,4/21/2011 13:11,12354,Spain
550911,22215,425,4/21/2011 13:11,12354,Spain
550911,23008,709,4/21/2011 13:11,12354,Spain
550911,23010,773,4/21/2011 13:11,12354,Spain
550911,21891,265,4/21/2011 13:11,12354,Spain
550911,21533,620,4/21/2011 13:11,12354,Spain
550911,22623,918,4/21/2011 13:11,12354,Spain
552449,22693,534,5/9/2011 13:49,12355,Bahrain
552449,23076,553,5/9/2011 13:49,12355,Bahrain
552449,23077,383,5/9/2011 13:49,12355,Bahrain
541430,22195,649,1/18/2011 9:50,12356,Portugal
541430,22435,460,1/18/2011 9:50,12356,Portugal
541430,84378,304,1/18/2011 9:50,12356,Portugal
541430,22646,896,1/18/2011 9:50,12356,Portugal
541430,84987,157,1/18/2011 9:50,12356,Portugal
541430,84380,208,1/18/2011 9:50,12356,Portugal
549435,21124,444,4/8/2011 12:33,12356,Portugal
549435,22957,615,4/8/2011 12:33,12356,Portugal
549435,84378,744,4/8/2011 12:33,12356,Portugal
574740,20677,319,11/6/2011 16:07,12357,Switzerland
574740,20679,252,11/6/2011 16:07,12357,Switzerland
574740,21485,417,11/6/2011 16:07,12357,Switzerland
574740,37495,62,11/6/2011 16:07,12357,Switzerland
574740,22969,874,11/6/2011 16:07,12357,Switzerland
574740,22028,791,11/6/2011 16:07,12357,Switzerland
574740,22716,593,11/6/2011 16:07,12357,Switzerland
574740,22712,128,11/6/2011 16:07,12357,Switzerland
574740,23493,347,11/6/2011 16:07,12357,Switzerland
574740,22191,98,11/6/2011 16:07,12357,Switzerland
574740,22193,192,11/6/2011 16:07,12357,Switzerland
574740,84378,455,11/6/2011 16:07,12357,Switzerland
574740,22964,53,11/6/2011 16:07,12357,Switzerland
574740,21154,238,11/6/2011 16:07,12357,Switzerland
574740,47559,251,11/6/2011 16:07,12357,Switzerland
574740,21218,123,11/6/2011 16:07,12357,Switzerland
574740,23247,834,11/6/2011 16:07,12357,Switzerland
574740,21216,301,11/6/2011 16:07,12357,Switzerland
574740,23197,332,11/6/2011 16:07,12357,Switzerland
574740,22348,417,11/6/2011 16:07,12357,Switzerland
559707,20679,996,7/12/2011 10:04,12358,Austria
581232,20679,712,12/8/2011 10:26,12358,Austria
581232,22646,642,12/8/2011 10:26,12358,Austria
540946,82484,779,1/12/2011 12:43,12359,Cyprus
543370,22692,569,2/7/2011 14:51,12359,Cyprus
543370,21912,98,2/7/2011 14:51,12359,Cyprus
